num_point,latitude,longitude,timestamp
0,45.188460056,5.7489971337,2016-01-24 16:39:59
1,45.1884366884,5.7491220023,2016-01-24 16:40:05
2,45.1884457619,5.7492670028,2016-01-24 16:40:11
3,45.1884609728,5.7494021776,2016-01-24 16:40:18
4,45.1884825495,5.7495425534,2016-01-24 16:40:27
5,45.1885212889,5.7496601494,2016-01-24 16:40:33
6,45.1885510122,5.7497830322,2016-01-24 16:40:39
7,45.1885869764,5.7499179064,2016-01-24 16:40:45
8,45.1886498952,5.7500271819,2016-01-24 16:40:51
9,45.1887230463,5.7501234675,2016-01-24 16:40:58
10,45.1887785619,5.7502405,2016-01-24 16:41:04
11,45.188832667,5.7503796358,2016-01-24 16:41:10
12,45.1888706201,5.7505176296,2016-01-24 16:41:14
13,45.1889189042,5.7506558403,2016-01-24 16:41:19
14,45.1889822371,5.7507751349,2016-01-24 16:41:25
15,45.1890358572,5.7508811921,2016-01-24 16:41:30
16,45.1890984996,5.750985411,2016-01-24 16:41:38
17,45.1891923856,5.7510295955,2016-01-24 16:41:46
18,45.1892806754,5.7511078905,2016-01-24 16:41:52
19,45.1893527906,5.7512166664,2016-01-24 16:41:58
20,45.189406134,5.7513369348,2016-01-24 16:42:03
21,45.1894478972,5.7514615602,2016-01-24 16:42:11
22,45.1895092209,5.7515636312,2016-01-24 16:42:19
23,45.1896043755,5.7516316339,2016-01-24 16:42:25
24,45.1896940674,5.751689447,2016-01-24 16:42:30
25,45.1897970514,5.7517730514,2016-01-24 16:42:37
26,45.1898847248,5.7518311577,2016-01-24 16:42:45
27,45.1899585301,5.7519240362,2016-01-24 16:42:51
28,45.1900421651,5.7519951997,2016-01-24 16:42:58
29,45.1901269259,5.7520483219,2016-01-24 16:43:05
30,45.1902191083,5.7520861433,2016-01-24 16:43:11
31,45.1903142105,5.7521171856,2016-01-24 16:43:18
32,45.190417226,5.7521554623,2016-01-24 16:43:25
33,45.1905089414,5.7522292486,2016-01-24 16:43:30
34,45.1905981878,5.7522876912,2016-01-24 16:43:39
35,45.1906917716,5.7523046386,2016-01-24 16:43:46
36,45.1907908289,5.7523108938,2016-01-24 16:43:54
37,45.190888596,5.7523272396,2016-01-24 16:44:00
38,45.1909791204,5.7523574554,2016-01-24 16:44:07
39,45.1910686242,5.7524007577,2016-01-24 16:44:13
40,45.1911743606,5.7524454015,2016-01-24 16:44:21
41,45.1912692543,5.7524847431,2016-01-24 16:44:28
42,45.1913551632,5.7525327036,2016-01-24 16:44:34
43,45.1914459762,5.7525815583,2016-01-24 16:44:39
44,45.1915371909,5.7526308912,2016-01-24 16:44:45
45,45.1916261504,5.7526586574,2016-01-24 16:44:52
46,45.1917159752,5.7526908375,2016-01-24 16:45:01
47,45.1918147511,5.7527194931,2016-01-24 16:45:10
48,45.1919187219,5.7527595239,2016-01-24 16:45:16
49,45.1920030935,5.7528039379,2016-01-24 16:45:21
50,45.1920950474,5.7528455745,2016-01-24 16:45:26
51,45.1922018889,5.7528877609,2016-01-24 16:45:32
52,45.1923042254,5.7529172015,2016-01-24 16:45:37
53,45.1923929489,5.7529617019,2016-01-24 16:45:41
54,45.192490452,5.7530189481,2016-01-24 16:45:47
55,45.1925907108,5.7530523298,2016-01-24 16:45:52
56,45.1926803917,5.7530873588,2016-01-24 16:45:57
57,45.1927742368,5.7531196586,2016-01-24 16:46:02
58,45.1928686348,5.7531440663,2016-01-24 16:46:06
59,45.192958257,5.7531662068,2016-01-24 16:46:11
60,45.1930543931,5.7531967997,2016-01-24 16:46:17
61,45.1931518016,5.7532203172,2016-01-24 16:46:22
62,45.1932411465,5.7532387708,2016-01-24 16:46:27
63,45.1933272652,5.7532819267,2016-01-24 16:46:37
64,45.1934471053,5.7533170723,2016-01-24 16:46:45
65,45.1935465903,5.7533355825,2016-01-24 16:46:51
66,45.1936644719,5.7533807758,2016-01-24 16:47:06
67,45.1937839119,5.7534263019,2016-01-24 16:47:09
68,45.1939121526,5.7534807536,2016-01-24 16:47:12
69,45.1940034178,5.7535249467,2016-01-24 16:47:15
70,45.1940913051,5.7535741504,2016-01-24 16:47:24
71,45.1941996486,5.7536270067,2016-01-24 16:47:28
72,45.1942902231,5.7536845798,2016-01-24 16:47:32
73,45.1943883342,5.7537351448,2016-01-24 16:47:40
74,45.1944851914,5.7538262925,2016-01-24 16:47:47
75,45.194569386,5.7538873884,2016-01-24 16:47:51
76,45.1946692668,5.7539322796,2016-01-24 16:47:56
77,45.1947611555,5.7539578613,2016-01-24 16:48:01
78,45.1948561314,5.7540249708,2016-01-24 16:48:07
79,45.1949452942,5.754084312,2016-01-24 16:48:10
80,45.1950428132,5.7541360231,2016-01-24 16:48:13
81,45.1951437893,5.7541785516,2016-01-24 16:48:17
82,45.195246328,5.7541970136,2016-01-24 16:48:21
83,45.1953394111,5.7542354067,2016-01-24 16:48:25
84,45.1954261791,5.7543113255,2016-01-24 16:48:30
85,45.1955133672,5.7543864608,2016-01-24 16:48:33
86,45.1956173753,5.7544678594,2016-01-24 16:48:36
87,45.1957036239,5.7545224114,2016-01-24 16:48:39
88,45.1958067365,5.7545610837,2016-01-24 16:48:42
89,45.1959033412,5.7546004416,2016-01-24 16:48:45
90,45.1959937426,5.7546800733,2016-01-24 16:48:49
91,45.1960586706,5.7547869807,2016-01-24 16:48:52
92,45.1961327578,5.7548775876,2016-01-24 16:48:59
93,45.1962464695,5.7548754691,2016-01-24 16:49:03
94,45.1963793311,5.7548564343,2016-01-24 16:49:09
95,45.1964989728,5.7548501014,2016-01-24 16:49:13
96,45.1965975713,5.7549201349,2016-01-24 16:49:18
97,45.1966664616,5.7550195086,2016-01-24 16:49:22
98,45.1967214681,5.7551237626,2016-01-24 16:49:26
99,45.1967645115,5.7552557998,2016-01-24 16:49:30
100,45.1967891741,5.7554067256,2016-01-24 16:49:34
101,45.1968141103,5.7555466251,2016-01-24 16:49:39
102,45.196860477,5.7556833983,2016-01-24 16:49:46
103,45.1968831672,5.755813853,2016-01-24 16:49:52
104,45.196891414,5.7559428863,2016-01-24 16:49:58
105,45.1969061037,5.7560998397,2016-01-24 16:50:03
106,45.1969028591,5.7562376655,2016-01-24 16:50:08
107,45.1968796968,5.7563678705,2016-01-24 16:50:14
108,45.1968594939,5.7564975751,2016-01-24 16:50:24
109,45.1968428825,5.7566266929,2016-01-24 16:50:27
110,45.1968208026,5.7567603464,2016-01-24 16:50:31
